epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,224.07,0.2852,1.42012,1.00827,0.31497,0.40189,0.25601,0.16725,0.69,1.69325,0.9175,0.000276973,0.000276973,0.000276973
2,436.464,0.25643,1.13836,0.95688,0.50555,0.51865,0.41808,0.38624,0.30145,1.00823,0.49518,0.000527185,0.000527185,0.000527185
3,647.892,0.24848,1.13606,0.95802,0.35436,0.57349,0.36467,0.35253,0.22045,0.9972,0.41712,0.000749908,0.000749908,0.000749908
4,860.144,0.2112,1.08273,0.93849,0.37126,0.51519,0.42841,0.39653,0.22795,0.81477,0.4377,0.000709299,0.000709299,0.000709299
5,1070.57,0.18933,1.0403,0.93426,0.48813,0.63622,0.53018,0.51896,0.21304,0.56205,0.41256,0.000668066,0.000668066,0.000668066
6,1279.4,0.17052,0.98271,0.92204,0.40044,0.527,0.44234,0.43193,0.15815,0.89622,0.34723,0.000626832,0.000626832,0.000626832
7,1487.31,0.14831,0.9249,0.91057,0.63817,0.50698,0.52997,0.47543,0.24056,0.59053,0.39849,0.000585599,0.000585599,0.000585599
8,1697.72,0.13706,0.91653,0.90918,0.50319,0.57474,0.53281,0.52165,0.12523,0.65008,0.31984,0.000544365,0.000544365,0.000544365
9,1908.8,0.12987,0.87309,0.90454,0.52723,0.59724,0.57504,0.56491,0.1328,0.73644,0.32679,0.000503132,0.000503132,0.000503132
10,2118.77,0.11202,0.84367,0.89471,0.52493,0.596,0.54547,0.5248,0.17153,0.61093,0.35797,0.000461898,0.000461898,0.000461898
11,2349.14,0.09038,0.85577,0.87853,0.51425,0.5453,0.54183,0.53866,0.14666,0.56985,0.3245,0.000420665,0.000420665,0.000420665
12,2556.79,0.07504,0.75504,0.86902,0.55259,0.58707,0.57887,0.57329,0.17696,0.58604,0.36084,0.000379431,0.000379431,0.000379431
13,2764.49,0.06403,0.68618,0.86354,0.56729,0.62181,0.60806,0.60554,0.15854,0.51908,0.34268,0.000338198,0.000338198,0.000338198
14,2972.27,0.05801,0.66321,0.86091,0.54105,0.62729,0.61423,0.6104,0.15397,0.58098,0.34551,0.000296964,0.000296964,0.000296964
15,3180.11,0.05794,0.60661,0.86471,0.56474,0.59483,0.60538,0.59393,0.16461,0.60887,0.34393,0.000255731,0.000255731,0.000255731
16,3411.6,0.04965,0.57952,0.86137,0.61988,0.62045,0.6377,0.63696,0.13578,0.45531,0.31798,0.000214497,0.000214497,0.000214497
17,3678.86,0.0431,0.52815,0.86078,0.59836,0.56932,0.61876,0.61758,0.12163,0.56706,0.30559,0.000173264,0.000173264,0.000173264
18,3948.9,0.03867,0.46954,0.85947,0.65805,0.63607,0.69684,0.69511,0.13926,0.47591,0.32534,0.000132031,0.000132031,0.000132031
19,4214.39,0.03359,0.42211,0.85996,0.63441,0.60721,0.66371,0.66293,0.13315,0.62766,0.32003,9.0797e-05,9.0797e-05,9.0797e-05
20,4479.78,0.03111,0.38049,0.85631,0.67161,0.60809,0.67713,0.67566,0.1326,0.60449,0.32206,4.95635e-05,4.95635e-05,4.95635e-05
